索引,说明,正确答案,错误答案,flag
index_kn,readme_s,answer1_s,answer2_s,flag_c
1,当前竞技场第一名的玩家叫什么名字？,answer_champion,answer_name,0
2,全服首个通过勇闯地宫30层的玩家叫什么名字？,answer_layer30,answer_name,0
3,全服首个通过勇闯地宫50层的玩家叫什么名字？,answer_layer50,answer_name,0
4,全服首个通过勇闯地宫80层的玩家叫什么名字？,answer_layer80,answer_name,0
5,全服首个通过勇闯地宫90层的玩家叫什么名字？,answer_layer108,answer_name,0
6,上次世界boss活动对美杜莎造成最后一击的玩家叫什么名字？,answer_killer,answer_name,0
7,被烟火围困，暂时无法逃离时应尽量待在哪里？,窗口,门边,0
8,止血带止血是将上肢结扎于伤员上臂的哪里？,三分之一,三分之二,0
9,不能怎么处理劲椎骨骨折的伤者？,垫枕头,垫棉被,0
10,手提式二氧化碳灭火器的手轮式使用方法不包括？,拔去保险销,撕掉铅封,0
11,火灾中，房门烫手时开门会发生什么？,浓烟涌入,地震,0
12,把胶带按什么形状贴在窗上，可以加固玻璃？,米字型,口字型,0
13,风暴来临时，错误的做法是什么？,打开门窗,用手保护头部,0
14,沿山谷徒步时，遭遇大雨不该怎么做？,留在谷底,离山谷越远越好,0
15,电梯下坠时，什么动作不能保护自己？,平躺,握紧手把,0
16,相传中国古代能作“掌上舞”的人是？,赵飞燕,班昭,0
17,四羊方尊是哪个朝代的文物？,商,周,0
18,国鸟是公鸡的国家是,法国,日本,0
19,埃及艳后克莉奥佩脱拉是哪个国家的人,希腊,罗马,0
20,“枫叶之邦”是指,加拿大,俄罗斯,0
21,“白雪公主”这个形象最早来自于,格林童话,北欧童话,0
22,"""将相和""讲的是战国时期的哪国人？",赵国,燕国,0
23,"""煮酒论英雄""的典故发生在哪个时期？",三国,隋朝,0
24,承德避暑山庄是哪个皇帝开始建造？,康熙,乾隆,0
25,一言九鼎这个典故中涉及的历史人物是？,毛遂,毛阶,0
26,床前明月光的"床"是什麽意思？,井栏,榻,0
27,人体最大的解毒器官是？,肝脏,肾脏,0
28,什麽门永远关不上?,球门,铁门,0
29,岳飞《满江红》词里所说的“靖康耻”是指哪件事 ,金灭北宋,金灭辽,0
30,世界杯足球赛几年举办一次,4,5,0
31,著名的《大卫像》是谁的作品,米开朗基罗,多米尼哥,0
32,正常成人的脊柱有几个生理弯曲,4,2,0
33,孟夏在古代时令中是指农历几月？,4月,6月,0
34,太阳是什麽星？,恒星,行星,0
35,秦代竹简上的文字，应该是？,小篆  ,楷书,0
36,西汉文学成就中，最为突出的是？,赋和乐府诗,戏剧,0
37,李世民的帝号是什麽？,唐太宗,唐玄宗,0
38,地上小青龙，眼睛一点红，嘴里吐烟雾，为你除蚊虫。(物名) ,蚊香,橡皮擦,0
39,“水利万物而不争”出自于？,上善若水,道德经,0
40,火烧蜘蛛网 〈猜成语〉 ,一丝不挂,万念俱灰,0
41,古代中医治疗学的基础奠定于？,《伤寒杂病论》  ,《千金方》,0
42,早晨醒来，每个人都要做的第一件事是什麽？,睁开眼睛,刷牙,0
43,哪种比赛，赢的得不到奖品，输的却有奖品?,划拳喝酒,没有这种比赛,0
44,台湾最大的天然湖泊是？,日月潭,龙潭,0
45,你在家里，和谁长得最像？,自己,爸爸,0
46,哪一个月有二十八天?,每个月都有,二月,0
47,真丝衣服能不能与樟脑丸放在一起？,不能,能,0
48,什麽路最窄?,冤家路窄,小巷,0
49,“琴棋书画”中的“棋”指?,围棋,象棋,0
50,马是怎样睡觉的？,站着睡,趴着睡,0
51,《论语》的作者是谁?,孔子的弟子,孔子,0
52,《草原》的作者是?,老舍,齐白石,0
53,二十四史的最后一部是?,明史,清史,0
54,谁和自己最亲近?,影子,妈妈,0
55,怎麽样做必然在街上捡到钱？,把钱包扔到地上,去街上守候,0
56,“红娘”是哪部作品中的人物?,西厢记,金瓶梅,0
57,什么东西做的人知道，买的人知道，卖的人知道，用的人却不知道 ？,棺材,牙刷,0
58,被称为“诗圣”的唐代诗人是哪位?,杜甫,李白,0
59,古筝和古琴哪一个的弦更多？,古筝,古琴,0
60,人们熟悉的“八卦”是出自?,周易,易经,0
61,从何时起，对最高统治者称“王”？,商,夏,0
62,煤气表上的“度”表示,1立方米的煤气 ,100升的煤气,0
63,不丹国旗的标志是什么,龙,狮,0
64,举重运动员举重时，为什麽要搓白粉？,吸手上的汗,耍帅,0
65,热带鱼一般生活在淡水中还是咸水中？,淡水,咸水,0
66,“国家兴亡，匹夫有责”语出?,顾炎武,辛弃疾,0
67,鱿鱼不能和什麽同吃？,山楂,鸡肉,0
68,涮羊肉起源于？,元朝,隋朝,0
69,博士后是学位吗？,不是,是,0
70,有些药品为什麽用黄色的瓶装？,防止日光照射,好看啊,0
71,冬天玻璃窗上的冰花是结在玻璃的哪一面？,室内,室外,0
72,海水所结的冰晶是？,淡的,咸的 ,0
73,元宵节赏灯的习俗始于什麽时期？,东汉,西汉,0
74,丝绸之路的开辟可以追溯到哪个朝代？,西汉,东汉,0
75,在玻璃产生之前，古代的镜子一般由什麽材料制作？,铜,铁,0
76,三人两口牵着一匹马 （猜一字）,验,仨,0
77,世界上的“风车之国”是指？,荷兰,奥地利,0
78,中国最早的中医学专著是什麽？,黄帝内经,本草纲目,0
79,人体中最先衰老的器官是？,胸腺,肝脏,0
80,鸟类中最小的是？,蜂鸟,麻雀 ,0
81,发烧时不宜喝什麽饮料？,浓茶,姜汤,0
82,澎湖群岛为台湾年雨量最少的地区，其主要影响因素是？,地势低平,四周环海,0
83,许多人都喜欢到低于海平面410公尺的死海去做日光浴是为什么？,紫外线最弱,空气湿润,0
84,成都的市花是什么？,芙蓉花,牡丹花,0
85,维纳斯是罗马神话中的什么女神？,爱神与美神,战神,0
86,电脑的中央处理器英文简写是什么？,Cpu,Cpv,0
87,眉毛的生长周期有多久？,两个月,四个月,0
88,什么人一年中只工作一天？,圣诞老人,乞丐,0
89,什么时候看到的月亮最大？,登上月球时,月全食时,0
90,涮羊肉起源于哪个朝代？,元,宋,0
91,钢是由什么组成的？,铁、碳,碳、硅,0
92,目前人类已知的最软的石头是什么？,滑石,轻石,0
93,什么东西使人哭笑不得？,口罩,毒药,0
94,四大名茶之一的龙井茶产地是哪里？,浙江杭州,福建安溪,0
95,"火车由北京到上海需要6小时,行使3小时后,火车该在什么地方?",车轨上,不确定,0
96,《清明上河图》是一幅什么画？,社会风俗画,人物风景画,0
97,摄影中用得最多的是哪种光？,可见光,紫外线,0
98,人体中最先衰老的器官是哪？,胸腺,大脑,0
99,睡美人最怕的是什么?,失眠,老鼠,0
100,山坡上有一群羊，山坡下来了一群羊，对面山上过来一群羊。一共有几群羊？,还是1群,3群,0
101,用什么可以解开所有的谜？,答案,万能钥匙,0
102,“冬天到了，春天还会远吗”语出自谁？,雪莱,孔子,0
103,下面干果中脂肪含量最高的是哪一项？,核桃仁,花生,0
104,什么贵重的东西最容易不翼而飞?,人造卫星,灰机,0
105,小毛的妈妈有三个儿子，大儿子叫大毛，二儿子叫二毛，三儿子叫什么？,小毛,没毛,0
106,“圆舞曲之王”约翰.施特劳斯与“圆舞曲之父”老约翰.施特劳斯的关系是？,父子,没有关系,0
107,每一个少数民族都有自己喜爱的颜色，蒙古族喜爱什么颜色？,白色,青色,0
108,骨折时伴随休克发生，应先治疗什么？,休克,骨折,0
109,为了便于让望远镜观测天体，天文台的房子屋顶被设计成什么形状？,圆形,梯形,0
110,早晨醒来，每个人都要做的第一件事是什么？,睁眼,洗漱,0
111,白炽灯用久了会发黑是为什么？,钨丝升华,灰太厚了,0
112,为什么稀饭要比烧饼贵？,物以稀为贵,进口的稀饭,0
113,胰岛素是一种什么物质？,蛋白质,糖类,0
114,“七月流火”指天气发生什么变化？,转凉,转热,0
115,哪一个月有二十八天？,每个月都有,10月,0
116,"小白很像他哥哥,打一成语？",真相大白,白日做梦,0
117,什么筋伤了不能贴膏药？,脑筋,脚筋,0
118,有一个字，人人见了都会念错。这是什么字？,错,偬,0
119,“昙花一现”是“现”在什么时候？,晚上,下午,0
120,小明对小张说：我可以坐在一个你永远也坐不到的地方！他坐在哪里?,小张身上,屋顶上,0
121,“户枢不蠹”的“不蠹”是什么意思？,不生虫,不变色,0
122,被称为菊月的月份几月？,9月,11月,0
123,"一个两位数去掉首位是13,去掉末位是40.请问这个数是几?",43,33,0
124,地球的年龄约有多长？,46亿年,36亿年,0
125,有一只公鹿跑起来速度高达120迈，请问它叫什么？,高速公路,神鹿,0
126,“新华字典”有多少个字？,4个字,多得数不清,0
127,电脑中病毒该怎么办？,用杀毒软件,以毒攻毒,0
128,近来被人们津津乐道的一种以长度单位为名称的技术称为什么？,纳米技术,钠米技术,0
129,蜜蜂叮在日历上，打一成语？,风和日丽,蜂缠蝶恋,0
130,哈雷彗星绕太阳运行的周期约为多久？,76年,72年,0
131,坏血病是因缺什么而造成的？,维生素C,血小板,0
132,汉字“廿”表示多少？,二十,十二,0
133,辽宁曾被称为什么？,奉天,顺天,0
134,黄山有前海，天海，北海，东海，西海五大景区，“海”指的是啥？,云海,天海,0
135,古代著名的水利工程都江堰是谁设计的？,李冰父子,郭守敬,0
136,3只鸡3天下了3个蛋。100天内要100个蛋，需要多少只鸡？,3只,100只,0
137,人参的主要产地在哪？,东北,中原,0
138,哪一类茶属于发酵茶？,红茶,龙井茶,0
139,谜面，一箭穿心。打一字？,必,炎,0
140,铁锅通常用哪种铁制成？ ,生铁,熟铁,0
141,请问在相等分量下，下面哪种食物胆固醇含量最低？,兔肉,鸡肉,0
142,商品的性价比越高，其市场竞争力会怎么变化？,变强,变弱,0
143,想把梦变成现实，第一步应该干什么？,起床,继续睡,0
144,人们最初发明滑冰，目的是什么？ ,交通工具,节日庆祝,0
145,有“植物熊猫”之称的是什么植物？,银杉,铁树,0
146,“狭路相逢勇者胜”的典故与下列哪个人物有关？,赵奢,赵爽,0
147,什么动物最爱贴在墙上？,海豹,梅花鹿,0
148,蔬菜、水果等商品在不同的时间里价格不同，这差别叫做什么差价？,季节差价,时段差价,0
149,鹿茸是新生的什么？,鹿角,鹿尾,0
150,安徒生的童话《海的女儿》中的“美人鱼”现座落在哪？,丹麦,荷兰,0
151,患糖尿病是因为胰岛素量发生了什么变化？,太少,没关系,0
152,阿斯匹林是常用药，它的主要功能是什么？,解热止痛,清热解毒,0
153,狗过了独木桥就不叫了，打一成语？,过目不忘,小桥流水,0
154,恐龙属于什么动物？,爬行动物,大型动物,0
155,打破了什么人人都叫好？,世界纪录,沙袋,0
156,古书中男子手里常握有“三尺”，请问它指什么？,剑,书,0
157,大气中起吸收紫外线、保护地球生命作用的是哪种成分？,臭氧,氧气,0
158,作家老舍的原名叫什么？,舒庆春,巴金,0
159,人民英雄纪念碑上的雕塑作品《五四运动》是哪种雕塑？,浮雕,线雕,0
160,什么东西没吃的时候是绿的，吃的时候是红的，吐出来的是黑的？,西瓜,葡萄,0
161,茶叶的含水量高于8%会导致什么后果？,发生霉变,爆炸,0
162,有个人走独木桥，前面来了一只老虎，后面来了只熊，这个人是怎么过去的？,晕过去,跳过去,0
163,"依照西方习俗, 订婚戒指戴在左手哪根手指上？",无名指,中指,0
164,什么动物天天熬夜？,熊猫,狗,0
165,《掀起你的盖头来》是哪个民族的民歌？,维吾尔族,蒙古族,0
166,人体最大的器官是什么？,皮肤,骨骼,0
167,地球上出现的潮汐是什么原因？,地月吸引力,地日吸引力,0
168,“名不正则言不顺”是哪家的思想？,儒家,法家,0
169,古人常用松鹤延年图祝寿，鹤是生长在什么地方？,沼泽地,深山老林,0
170,什么英文字母最多人喜欢听?,CD,AB,0
